    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
    0,             1,               0,              0,         1,           0,          0,                         1,                           0,                          0,            6,              0,             0
    1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
    2,             5,               1,              0,        17,           2,          0,                        13,                           1,                          0,           19,              2,             1
    3,            11,               3,              0,        22,           3,          0,                        25,                           3,                          0,           28,              5,             0
    4,            14,               3,              0,        39,           5,          5,                        41,                           5,                          0,           49,             12,             1
    5,            17,               3,              0,        55,           7,          5,                        61,                           7,                          0,           67,             20,             3
    6,            22,               4,              1,        58,           7,          1,                        85,                           8,                          1,           84,             26,             3
    7,            29,               6,              2,        65,           8,          1,                       113,                          10,                          1,           95,             29,             2
    8,            32,               6,              1,        86,          10,          1,                       145,                          12,                          1,          118,             36,             2
    9,            35,               6,              1,       102,          12,          1,                       181,                          14,                          1,          139,             44,             1
   10,            38,               6,              1,       119,          14,          0,                       221,                          16,                          1,          168,             57,             1
   11,            43,               7,              1,       139,          16,          0,                       265,                          17,                          1,          186,             63,             1
   12,            46,               7,              1,       135,          14,          0,                       313,                          19,                          1,          216,             77,             2
   13,            51,               8,              1,       154,          15,          1,                       365,                          20,                          2,          240,             88,             2
   14,            54,               8,              1,       159,          17,          0,                       421,                          22,                          2,          263,             97,             1
   15,            57,               8,              3,       177,          19,          1,                       481,                          24,                          2,          284,            107,             2
   16,            62,               9,              6,       199,          20,          1,                       545,                          25,                          2,          312,            115,             2
   17,            69,              11,              2,       209,          21,          1,                       613,                          27,                          2,          341,            128,             2
   18,            72,              11,              1,       245,          26,          1,                       685,                          29,                          3,          365,            134,             2
   19,            75,              11,              1,       247,          26,          1,                       761,                          31,                          3,          394,            149,             2
   20,            80,              12,              2,       272,          28,          1,                       841,                          32,                          3,          429,            163,             3
   21,            83,              12,              2,       287,          30,          1,                       925,                          34,                          4,          452,            172,             2
   22,            86,              12,              2,       285,          27,          1,                      1013,                          36,                          4,          477,            179,             3
   23,            91,              13,              2,       301,          28,          1,                      1105,                          37,                          4,          509,            197,             2
   24,            94,              13,              2,       343,          35,          1,                      1201,                          39,                          5,          541,            208,             2
   25,            97,              13,              2,       354,          36,          1,                      1301,                          41,                          5,          571,            223,             3
   26,           100,              13,              2,       351,          32,          1,                      1405,                          43,                          5,          596,            230,             7
   27,           103,              13,              8,       363,          33,          3,                      1513,                          45,                         16,          625,            247,             6
   28,           112,              16,              4,       391,          36,          3,                      1625,                          48,                         30,          659,            261,             5
   29,           117,              17,              4,       406,          37,          2,                      1741,                          49,                         48,          681,            271,             6
   30,           120,              17,              4,       430,          40,          3,                      1861,                          51,                         12,          708,            283,             5
   31,           123,              17,              4,       453,          42,          3,                      1985,                          53,                         13,          737,            299,             6
   32,           126,              17,              4,       462,          41,          2,                      2113,                          55,                         14,          783,            317,             5
   33,           133,              19,              6,       479,          41,          2,                      2245,                          57,                         15,          816,            330,             5
   34,           138,              20,              2,       489,          43,          1,                      2381,                          58,                          8,          845,            340,             3
   35,           147,              23,              3,       509,          45,          1,                      2521,                          61,                         35,          876,            353,            10
   36,           150,              23,              4,       542,          51,          2,                      2665,                          63,                         17,          921,            372,             6
   37,           153,              23,              4,       549,          50,          2,                      2813,                          65,                         17,          952,            387,             6
   38,           158,              24,              4,       590,          54,          2,                      2965,                          66,                          3,          995,            406,             6
   39,           161,              24,              3,       616,          57,          2,                      3121,                          68,                          2,         1020,            417,             4
   40,           164,              24,              3,       628,          57,          3,                      3281,                          70,                          4,         1051,            430,             6
   41,           167,              24,              4,       643,          56,          3,                      3445,                          72,                          4,         1084,            442,             7
   42,           172,              25,              5,       631,          53,          2,                      3613,                          73,                          4,         1119,            458,             7
   43,           179,              27,              5,       654,          56,          2,                      3785,                          75,                          4,         1150,            473,             7
   44,           184,              28,              5,       722,          66,          3,                      3961,                          76,                          4,         1187,            487,             6
   45,           187,              28,              5,       735,          67,          3,                      4141,                          78,                          4,         1225,            507,             7
   46,           190,              28,              5,       705,          59,          2,                      4325,                          80,                          4,         1254,            514,             7
   47,           195,              29,              5,       729,          61,          3,                      4513,                          81,                          3,         1281,            527,             4
   48,           202,              31,             30,       782,          68,          4,                      4705,                          83,                          4,         1310,            537,             8
   49,           205,              31,              7,       807,          69,          4,                      4901,                          85,                          5,         1342,            550,             8
   50,           208,              31,              4,       798,          68,          2,                      5101,                          87,                          3,         1388,            574,             6
   51,           213,              32,              6,       787,          66,          3,                      5305,                          88,                          6,         1416,            584,             8
   52,           218,              33,              6,       832,          71,          3,                      5513,                          89,                          6,         1454,            599,             8
   53,           221,              33,              7,       847,          71,          3,                      5725,                          91,                          6,         1489,            617,             9
   54,           224,              33,              7,       927,          75,          3,                      5941,                          91,                          6,         1520,            629,             5
   55,           227,              33,              4,       942,          77,          3,                      6161,                          94,                          4,         1550,            645,             6
   56,           230,              33,              4,       913,          75,          2,                      6385,                          96,                          4,         1589,            657,             5
   57,           233,              33,              4,       923,          75,          2,                      6613,                          98,                          4,         1615,            672,             5
   58,           236,              33,              4,       948,          80,          2,                      6845,                         100,                          4,         1653,            690,             5
   59,           239,              33,              4,       936,          77,          2,                      7081,                         102,                          4,         1691,            711,             5
   60,           242,              33,              4,      1042,          82,          2,                      7321,                         104,                          4,         1722,            720,             5
   61,           245,              33,              5,      1036,          82,          2,                      7565,                         106,                          7,         1752,            737,             9
   62,           248,              33,              6,       977,          79,          3,                      7813,                         108,                          8,         1795,            759,             9
   63,           251,              33,              7,      1001,          81,          3,                      8065,                         110,                          8,         1826,            776,            10
   64,           256,              34,              7,      1059,          83,          3,                      8321,                         111,                          8,         1883,            801,             9
   65,           259,              34,              7,      1081,          86,          3,                      8581,                         113,                         12,         1911,            809,            56
   66,           262,              34,              4,      1087,          88,          2,                      8845,                         115,                          5,         1958,            830,             7
   67,           265,              34,             15,      1094,          88,          3,                      9113,                         117,                          5,         1992,            843,             6
   68,           268,              34,              4,      1149,          89,          3,                      9385,                         117,                          5,         2031,            856,             8
   69,           271,              34,              4,      1146,          88,          2,                      9661,                         120,                          5,         2077,            880,             6
   70,           274,              34,              4,      1134,          90,          2,                      9941,                         122,                          5,         2105,            886,             6
   71,           277,              34,              6,      1142,          90,          2,                     10225,                         124,                          5,         2139,            901,             6
   72,           280,              34,              4,      1160,          94,          2,                     10513,                         126,                          5,         2185,            922,             6
   73,           283,              34,              4,      1168,          94,          2,                     10805,                         128,                          5,         2207,            926,             6
   74,           286,              34,              4,      1214,         100,          2,                     11101,                         130,                         10,         2266,            958,            11
   75,           289,              34,              8,      1236,         102,          4,                     11401,                         132,                         12,         2301,            972,            11
   76,           292,              34,              7,      1254,         101,          4,                     11705,                         134,                         12,         2342,            988,            11
   77,           295,              34,              7,      1279,         103,          4,                     12013,                         136,                         12,         2375,           1004,            15
   78,           298,              34,              8,      1301,         105,          4,                     12325,                         138,                         12,         2427,           1029,            13
   79,           303,              35,             11,      1329,         107,          5,                     12641,                         139,                         13,         2459,           1045,            33
   80,           306,              35,              8,      1316,         102,          5,                     12961,                         141,                         13,         2501,           1063,            16
   81,           309,              35,             10,      1354,         106,          5,                     13285,                         143,                         11,         2555,           1087,            13
   82,           312,              35,              7,      1382,         108,          4,                     13613,                         145,                         11,         2590,           1099,            26
   83,           315,              35,             16,      1406,         110,          3,                     13945,                         147,                          7,         2625,           1117,             7
   84,           320,              36,              5,      1483,         111,          3,                     14281,                         148,                          7,         2662,           1129,             7
   85,           323,              36,              5,      1505,         113,          3,                     14621,                         150,                          7,         2709,           1151,             8
   86,           330,              38,              5,      1448,         111,          3,                     14965,                         152,                          8,         2751,           1173,             7
   87,           333,              38,              5,      1479,         114,          2,                     15313,                         154,                          8,         2785,           1186,             8
   88,           336,              38,              5,      1544,         125,          3,                     15665,                         156,                          8,         2832,           1210,             7
   89,           339,              38,              7,      1545,         124,          3,                     16021,                         158,                          8,         2873,           1226,             7
   90,           342,              38,              5,      1511,         114,          3,                     16381,                         160,                          8,         2915,           1242,             7
   91,           345,              38,              5,      1510,         113,          2,                     16745,                         162,                         13,         2955,           1266,             8
   92,           348,              38,              5,      1537,         116,          2,                     17113,                         164,                          9,         3004,           1286,             9
   93,           351,              38,              5,      1559,         118,          2,                     17485,                         166,                          9,         3031,           1298,             9
   94,           354,              38,              5,      1718,         131,          3,                     17861,                         168,                          9,         3072,           1318,             8
   95,           357,              38,              5,      1734,         131,          2,                     18241,                         170,                          9,         3103,           1334,             8
   96,           360,              38,             10,      1687,         131,          5,                     18625,                         172,                         17,         3128,           1343,            14
   97,           363,              38,             11,      1717,         133,          5,                     19013,                         172,                         17,         3172,           1359,            14
   98,           366,              38,              9,      1660,         127,          5,                     19405,                         175,                         17,         3222,           1380,            14
   99,           369,              38,              9,      1683,         129,          4,                     19801,                         175,                         18,         3257,           1397,            14
  100,           372,              38,              9,      1763,         136,          5,                     20201,                         178,                         19,         3307,           1419,            16
  101,           377,              39,              9,      1776,         136,          6,                     20605,                         179,                         19,         3338,           1431,            15
  102,           380,              39,              9,      1780,         137,          5,                     21013,                         181,                         21,         3379,           1449,            16
