  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
  0,             1,               0,              1,         1,           0,          0,                         1,                           0,                          0,            6,              0,             1
  1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
  2,             4,               0,              0,        15,           2,          2,                        13,                           2,                          0,           22,              4,             4
  3,             7,               0,              0,        15,           2,          1,                        25,                           4,                          1,           31,              8,             1
  4,            12,               1,              1,        35,           4,          3,                        41,                           5,                          1,           48,             13,             1
  5,            15,               1,              1,        39,           5,          2,                        61,                           7,                          1,           60,             17,             1
  6,            24,               4,              1,        57,           6,          3,                        85,                          10,                          2,           78,             23,             2
  7,            31,               6,              1,        76,           9,          3,                       113,                          12,                          3,           87,             23,             2
  8,            34,               6,              2,        97,          11,          4,                       145,                          14,                          3,          116,             34,             2
  9,            37,               6,              5,       113,          13,          4,                       181,                          16,                          3,          137,             43,             2
 10,            42,               7,              1,       120,          13,          4,                       221,                          17,                          4,          163,             53,             2
 11,            47,               8,              1,       134,          14,          4,                       265,                          18,                          4,          180,             60,             2
 12,            50,               8,              1,       137,          14,          5,                       313,                          20,                          5,          210,             72,             2
 13,            53,               8,              1,       160,          17,          5,                       365,                          22,                          6,          231,             81,             3
 14,            56,               8,              2,       170,          18,          6,                       421,                          24,                          6,          253,             92,             6
 15,            59,               8,              4,       190,          20,         15,                       481,                          24,                         12,          277,            104,             5
 16,            62,               8,              3,       212,          22,         13,                       545,                          27,                         11,          309,            114,             5
 17,            65,               8,              2,       216,          22,          7,                       613,                          29,                         27,          338,            127,             6
 18,            68,               8,              3,       236,          24,         10,                       685,                          31,                         11,          369,            140,             3
 19,            73,               9,              2,       260,          26,         10,                       761,                          32,                         11,          389,            145,             3
 20,            76,               9,              2,       279,          29,         10,                       841,                          34,                         13,          433,            165,             3
 21,            79,               9,              2,       290,          30,          8,                       925,                          36,                         15,          456,            175,             4
 22,            82,               9,              2,       298,          29,         21,                      1013,                          38,                         14,          480,            184,             9
 23,            85,               9,              2,       318,          31,          8,                      1105,                          40,                         17,          503,            194,             5
 24,            88,               9,              2,       307,          29,          8,                      1201,                          42,                         17,          535,            205,             4
 25,            91,               9,              2,       337,          32,          8,                      1301,                          44,                         19,          563,            220,             4
 26,            94,               9,              2,       354,          34,         12,                      1405,                          46,                         21,          590,            229,             4
 27,            97,               9,              2,       360,          34,          8,                      1513,                          48,                         22,          617,            242,             4
 28,           102,              10,              2,       373,          35,          8,                      1625,                          49,                         22,          652,            257,             5
 29,           107,              11,              3,       405,          38,          8,                      1741,                          50,                         25,          678,            270,             5
 30,           110,              11,              2,       406,          37,         10,                      1861,                          52,                         26,          709,            287,             5
 31,           113,              11,              3,       427,          39,          8,                      1985,                          54,                         28,          732,            294,             5
 32,           116,              11,              2,       459,          43,         11,                      2113,                          56,                         30,          766,            309,             5
 33,           119,              11,              2,       456,          41,          9,                      2245,                          58,                         32,          803,            324,             5
 34,           122,              11,              2,       498,          46,         16,                      2381,                          60,                         54,          842,            340,            13
 35,           127,              12,              5,       491,          44,         17,                      2521,                          61,                         60,          870,            350,            12
 36,           132,              13,             12,       513,          46,         31,                      2665,                          62,                         59,          910,            366,            12
 37,           137,              14,              4,       541,          49,         18,                      2813,                          63,                         58,          938,            376,            10
 38,           148,              18,              5,       545,          48,         19,                      2965,                          66,                         61,          970,            389,             7
 39,           151,              18,              3,       570,          51,         22,                      3121,                          68,                         43,         1007,            406,            13
 40,           154,              18,              4,       601,          55,         12,                      3281,                          70,                         73,         1039,            416,            12
 41,           157,              18,             10,       613,          55,          7,                      3445,                          72,                         78,         1064,            425,            14
 42,           160,              18,              5,       637,          58,          7,                      3613,                          74,                         87,         1118,            452,            12
 43,           165,              19,              5,       662,          60,          7,                      3785,                          75,                         89,         1145,            466,            15
 44,           170,              20,              5,       670,          58,          7,                      3961,                          76,                         91,         1169,            467,            14
 45,           175,              21,              3,       691,          61,          4,                      4141,                          77,                         57,         1203,            485,            10
 46,           178,              21,              3,       706,          61,          4,                      4325,                          79,                         59,         1243,            503,            14
 47,           181,              21,              5,       726,          63,          8,                      4513,                          81,                        105,         1280,            525,            15
 48,           184,              21,              7,       713,          61,          7,                      4705,                          83,                        113,         1314,            537,            18
 49,           187,              21,              3,       736,          62,          5,                      4901,                          85,                         67,         1342,            550,             9
 50,           192,              22,              3,       771,          66,          4,                      5101,                          86,                         69,         1379,            563,             8
 51,           195,              22,              3,       774,          66,          8,                      5305,                          88,                        111,         1419,            586,             8
 52,           198,              22,              4,       792,          68,          4,                      5513,                          90,                         75,         1452,            598,             5
 53,           203,              23,              3,       798,          67,          4,                      5725,                          91,                         81,         1488,            612,             5
 54,           208,              24,              3,       861,          73,          5,                      5941,                          92,                         80,         1525,            627,             5
 55,           211,              24,              4,       897,          75,          5,                      6161,                          94,                        100,         1560,            653,             5
 56,           216,              25,              4,       874,          74,          5,                      6385,                          95,                         48,         1582,            650,             5
 57,           219,              25,              4,       890,          76,          5,                      6613,                          97,                        135,         1617,            672,             6
 58,           222,              25,              4,       905,          75,          5,                      6845,                          99,                         40,         1666,            697,             5
 59,           225,              25,              4,       927,          77,          6,                      7081,                         101,                        122,         1694,            712,             9
 60,           230,              26,              6,       923,          75,         10,                      7321,                         102,                         76,         1730,            728,            10
 61,           233,              26,             15,       953,          77,         10,                      7565,                         104,                         60,         1765,            747,             8
 62,           236,              26,              4,       979,          81,          6,                      7813,                         104,                         43,         1800,            761,             7
 63,           239,              26,              4,       988,          81,          6,                      8065,                         107,                         48,         1832,            782,             5
 64,           242,              26,              6,      1045,          88,         12,                      8321,                         109,                         87,         1856,            785,            10
 65,           245,              26,              5,      1037,          86,          6,                      8581,                         111,                         30,         1881,            791,             6
 66,           248,              26,              4,      1068,          89,          6,                      8845,                         113,                         77,         1940,            820,             6
 67,           251,              26,             12,      1076,          89,          6,                      9113,                         115,                         64,         1986,            835,             6
 68,           256,              27,              4,      1106,          91,          6,                      9385,                         116,                         32,         2033,            863,             6
 69,           263,              29,              4,      1109,          90,          5,                      9661,                         118,                         85,         2073,            879,             6
 70,           270,              31,              4,      1144,          94,          6,                      9941,                         120,                         61,         2112,            889,            11
 71,           273,              31,              7,      1172,          97,         12,                     10225,                         122,                        128,         2129,            898,            11
 72,           276,              31,              7,      1148,          90,         12,                     10513,                         124,                        115,         2169,            912,             7
 73,           281,              32,              4,      1189,          94,          7,                     10805,                         125,                         37,         2207,            928,             7
 74,           286,              33,              4,      1239,          93,          6,                     11101,                         126,                         97,         2252,            947,            11
 75,           289,              33,              9,      1271,          95,         14,                     11401,                         128,                        124,         2278,            959,            12
 76,           292,              33,              7,      1280,         104,         12,                     11705,                         130,                         71,         2333,            983,            12
 77,           295,              33,              5,      1297,         105,          7,                     12013,                         132,                         88,         2363,           1001,             9
 78,           300,              34,              5,      1293,         103,          6,                     12325,                         133,                         82,         2411,           1019,             7
 79,           303,              34,             17,      1302,         103,         11,                     12641,                         135,                         94,         2443,           1034,             7
 80,           306,              34,              4,      1350,         108,          6,                     12961,                         137,                         44,         2489,           1049,             7
 81,           309,              34,              9,      1378,         112,          7,                     13285,                         139,                         86,         2519,           1063,             7
 82,           312,              34,              5,      1397,         112,          7,                     13613,                         141,                         81,         2572,           1089,             7
 83,           315,              34,              5,      1389,         108,          6,                     13945,                         143,                        175,         2600,           1099,            13
 84,           318,              34,              9,      1406,         111,         14,                     14281,                         145,                        144,         2652,           1125,            16
 85,           321,              34,              8,      1421,         112,         14,                     14621,                         147,                        140,         2687,           1137,            13
 86,           324,              34,              8,      1479,         119,         16,                     14965,                         147,                         94,         2732,           1160,            13
 87,           327,              34,              8,      1480,         118,          7,                     15313,                         150,                         52,         2763,           1172,            14
 88,           330,              34,              8,      1523,         119,         15,                     15665,                         152,                        166,         2807,           1192,            14
 89,           333,              34,             19,      1547,         121,         14,                     16021,                         154,                        144,         2845,           1207,            16
 90,           338,              35,             22,      1552,         118,         14,                     16381,                         155,                        116,         2891,           1233,             9
 91,           341,              35,              5,      1575,         120,          8,                     16745,                         157,                         92,         2929,           1247,             8
 92,           344,              35,              5,      1594,         120,         11,                     17113,                         159,                        199,         2959,           1251,            26
 93,           349,              36,             23,      1603,         125,         15,                     17485,                         160,                         17,         3009,           1281,            28
 94,           352,              36,              9,      1598,         123,         15,                     17861,                         162,                          9,         3055,           1302,             9
 95,           355,              36,              5,      1626,         125,         12,                     18241,                         164,                          9,         3089,           1322,            14
 96,           358,              36,              5,      1639,         127,         15,                     18625,                         166,                         18,         3142,           1343,            15
 97,           361,              36,              9,      1650,         128,         17,                     19013,                         168,                         18,         3176,           1360,            15
 98,           366,              37,              9,      1667,         128,         15,                     19405,                         169,                         18,         3220,           1376,            15
 99,           371,              38,              9,      1678,         127,         15,                     19801,                         170,                         12,         3257,           1394,            12
100,           374,              38,             19,      1729,         132,         16,                     20201,                         172,                         18,         3306,           1416,            18
