    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
    0,             1,               0,              0,         1,           0,          0,                         1,                           0,                          0,            6,              0,             0
    1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
    2,             4,               0,              0,        15,           2,          0,                        13,                           2,                          0,           22,              4,             1
    3,             7,               0,              0,        15,           2,          0,                        25,                           4,                          0,           31,              8,             1
    4,            15,               3,              5,        38,           4,          8,                        41,                           7,                          0,           42,              9,             2
    5,            20,               4,              0,        48,           5,          6,                        61,                           8,                          1,           56,             14,             2
    6,            32,               9,              0,        67,           8,          1,                        85,                          13,                          1,           82,             25,             3
    7,            46,              15,              1,        92,          11,          1,                       113,                          19,                          1,           94,             28,             2
    8,            61,              21,              0,        98,          11,          1,                       145,                          25,                          1,          109,             32,             1
    9,            68,              23,              0,       124,          14,          0,                       181,                          27,                          1,          128,             40,             1
   10,            83,              29,              0,       132,          15,          0,                       221,                          33,                          1,          159,             52,             1
   11,            86,              29,              0,       175,          20,          1,                       265,                          35,                          1,          186,             64,             1
   12,           107,              38,              0,       173,          19,          0,                       313,                          44,                          1,          200,             64,             2
   13,           116,              41,              1,       200,          22,          1,                       365,                          47,                          2,          222,             75,             2
   14,           129,              46,              1,       213,          23,          1,                       421,                          52,                          3,          240,             82,             2
   15,           138,              49,              1,       234,          26,          1,                       481,                          55,                          4,          255,             89,             3
   16,           157,              57,              1,       237,          25,          1,                       545,                          63,                          4,          296,            107,             3
   17,           164,              59,              1,       261,          29,          1,                       613,                          65,                          6,          325,            119,             3
   18,           195,              73,              2,       292,          32,          1,                       685,                          79,                          5,          349,            128,             2
   19,           216,              82,              2,       302,          32,          2,                       761,                          88,                          3,          365,            134,             2
   20,           225,              85,              2,       325,          32,          3,                       841,                          91,                          5,          399,            150,             4
   21,           248,              95,              2,       350,          37,          2,                       925,                         101,                          7,          414,            152,             4
   22,           251,              95,              3,       366,          38,          3,                      1013,                         103,                          5,          459,            173,            10
   23,           258,              97,              1,       390,          39,          2,                      1105,                         105,                          8,          476,            179,             4
   24,           279,             106,              3,       406,          40,          2,                      1201,                         114,                          8,          511,            195,             5
   25,           322,             126,              3,       417,          40,          2,                      1301,                         134,                          9,          539,            208,             5
   26,           347,             137,              3,       466,          48,          2,                      1405,                         145,                         10,          570,            219,             4
   27,           382,             153,              3,       470,          48,          2,                      1513,                         161,                         17,          597,            235,             8
   28,           395,             158,              4,       507,          51,          2,                      1625,                         166,                         11,          632,            248,             9
   29,           410,             164,              4,       523,          52,          2,                      1741,                         172,                         12,          645,            252,             4
   30,           455,             185,              4,       570,          56,          3,                      1861,                         193,                         13,          672,            266,             9
   31,           517,             215,              5,       575,          54,          3,                      1985,                         223,                         14,          694,            274,             9
   32,           572,             241,              5,       621,          60,          3,                      2113,                         249,                         15,          728,            289,            10
   33,           625,             266,              5,       625,          61,          2,                      2245,                         274,                         16,          737,            284,            10
   34,           674,             289,              6,       640,          61,          3,                      2381,                         297,                         18,          795,            310,             6
   35,           731,             316,              7,       683,          67,          3,                      2521,                         324,                         55,          815,            319,             6
   36,           802,             350,              7,       690,          66,          3,                      2665,                         358,                         17,          843,            330,             4
   37,           835,             365,              8,       682,          66,          4,                      2813,                         373,                         19,          885,            349,             7
   38,           904,             398,              8,       735,          74,          4,                      2965,                         406,                         20,          909,            356,             6
   39,           982,             436,              8,       723,          70,          3,                      3121,                         444,                          3,          937,            367,             7
   40,          1039,             463,              8,       830,          77,          2,                      3281,                         471,                          2,          962,            374,             4
   41,          1070,             477,              5,       788,          79,          2,                      3445,                         485,                          2,          993,            387,             4
   42,          1075,             478,              9,       904,          78,          6,                      3613,                         486,                          4,         1019,            398,             7
   43,          1086,             482,             11,       915,          83,          3,                      3785,                         490,                          3,         1052,            411,             6
   44,          1111,             493,             10,       915,          87,          3,                      3961,                         501,                          3,         1092,            425,             7
   45,          1201,             537,             10,       893,          85,          4,                      4141,                         545,                          4,         1123,            442,             7
   46,          1288,             579,             12,       927,          90,          4,                      4325,                         587,                          4,         1158,            450,             5
   47,          1319,             593,              6,       964,          90,          3,                      4513,                         601,                          3,         1178,            459,             4
   48,          1358,             611,              6,       984,          96,          2,                      4705,                         619,                          2,         1208,            473,            14
   49,          1447,             654,             12,      1015,          99,          4,                      4901,                         662,                          5,         1229,            477,             8
   50,          1502,             680,             13,      1018,          97,          4,                      5101,                         688,                          5,         1265,            492,            10
   51,          1563,             709,             15,      1004,          96,          4,                      5305,                         717,                          6,         1283,            498,             8
   52,          1666,             759,             14,      1102,         108,          4,                      5513,                         767,                          5,         1325,            514,             9
   53,          1769,             809,             19,      1124,         110,          4,                      5725,                         817,                          5,         1347,            522,             9
   54,          1870,             858,             18,      1162,         108,          4,                      5941,                         866,                          5,         1395,            542,             8
   55,          1915,             879,             18,      1200,         114,          3,                      6161,                         887,                          3,         1427,            563,             5
   56,          2008,             924,              9,      1235,         121,          5,                      6385,                         932,                          5,         1442,            553,             5
   57,          2115,             976,              9,      1281,         124,          6,                      6613,                         984,                          5,         1484,            579,             9
   58,          2136,             985,             18,      1305,         127,          5,                      6845,                         993,                          6,         1514,            593,             9
   59,          2247,            1039,             19,      1330,         127,          4,                      7081,                        1047,                          6,         1560,            613,            14
   60,          2334,            1081,             11,      1313,         127,          4,                      7321,                        1089,                          4,         1599,            631,             6
   61,          2391,            1108,             25,      1368,         130,          3,                      7565,                        1116,                          4,         1613,            632,             6
   62,          2464,            1143,             12,      1314,         129,          3,                      7813,                        1151,                          4,         1660,            659,             6
   63,          2501,            1160,             12,      1399,         132,          4,                      8065,                        1168,                          7,         1690,            668,            20
   64,          2540,            1178,             20,      1461,         139,          5,                      8321,                        1186,                          7,         1753,            694,             9
   65,          2657,            1235,             25,      1438,         133,          6,                      8581,                        1243,                          8,         1761,            702,            10
   66,          2772,            1291,             22,      1491,         136,          6,                      8845,                        1299,                          6,         1797,            714,            12
   67,          2799,            1303,             22,      1486,         143,          5,                      9113,                        1311,                          7,         1833,            729,            10
   68,          2890,            1347,             26,      1488,         142,          6,                      9385,                        1355,                          7,         1852,            726,            12
   69,          2935,            1368,             25,      1597,         152,          6,                      9661,                        1376,                          7,         1898,            753,            11
   70,          3074,            1436,             26,      1678,         154,          6,                      9941,                        1444,                          8,         1969,            796,            10
   71,          3135,            1465,             27,      1606,         149,          6,                     10225,                        1473,                          7,         1972,            791,            10
   72,          3158,            1475,             27,      1664,         150,          5,                     10513,                        1483,                          8,         2004,            803,            11
   73,          3253,            1521,             25,      1651,         155,          6,                     10805,                        1529,                          8,         2069,            833,            11
   74,          3340,            1563,             30,      1681,         162,          6,                     11101,                        1571,                          8,         2096,            839,            11
   75,          3479,            1631,             29,      1698,         155,          7,                     11401,                        1639,                          9,         2107,            847,            12
   76,          3602,            1691,             29,      1813,         164,          6,                     11705,                        1699,                         10,         2137,            845,            12
   77,          3695,            1736,             32,      1853,         182,          7,                     12013,                        1744,                          9,         2156,            858,            13
   78,          3704,            1739,             40,      1805,         166,          7,                     12325,                        1747,                          9,         2211,            884,            15
   79,          3759,            1765,             32,      1815,         167,          6,                     12641,                        1773,                         10,         2281,            927,            18
   80,          3844,            1806,             30,      1839,         174,          6,                     12961,                        1814,                          9,         2294,            915,            11
   81,          3901,            1833,             33,      1946,         171,          6,                     13285,                        1841,                         10,         2322,            930,            14
   82,          3954,            1858,             31,      1871,         173,          6,                     13613,                        1866,                          9,         2364,            951,            13
   83,          3961,            1860,             35,      2017,         178,          7,                     13945,                        1868,                         10,         2408,            975,            13
   84,          4050,            1903,             32,      2047,         185,          7,                     14281,                        1911,                         10,         2440,            983,            12
   85,          4191,            1972,             41,      1986,         186,          5,                     14621,                        1980,                          8,         2477,            997,             8
   86,          4198,            1974,             18,      2053,         187,          4,                     14965,                        1982,                          7,         2515,           1012,             8
   87,          4271,            2009,             20,      2054,         191,          4,                     15313,                        2017,                          7,         2539,           1017,             8
   88,          4352,            2048,             19,      2110,         199,          4,                     15665,                        2056,                          7,         2600,           1053,             8
   89,          4477,            2109,             20,      2134,         194,          4,                     16021,                        2117,                          7,         2626,           1064,             8
   90,          4636,            2187,             20,      2154,         193,          4,                     16381,                        2195,                          7,         2672,           1082,             8
   91,          4743,            2239,             22,      2159,         197,          4,                     16745,                        2247,                          7,         2690,           1090,             8
   92,          4764,            2248,             21,      2269,         210,          4,                     17113,                        2256,                          7,         2770,           1122,            10
   93,          4899,            2314,             21,      2256,         220,          4,                     17485,                        2322,                          7,         2762,           1124,             9
   94,          4950,            2338,             22,      2259,         209,          4,                     17861,                        2346,                          7,         2784,           1130,             8
   95,          5009,            2366,             22,      2313,         221,          4,                     18241,                        2374,                         11,         2821,           1144,            14
   96,          5186,            2453,             39,      2389,         206,          8,                     18625,                        2461,                         14,         2909,           1188,            15
   97,          5363,            2540,             45,      2376,         214,          8,                     19013,                        2548,                         14,         2939,           1193,            16
   98,          5494,            2604,             46,      2400,         229,          8,                     19405,                        2612,                         14,         2955,           1198,            16
   99,          5525,            2618,             43,      2508,         222,          8,                     19801,                        2626,                         14,         2971,           1204,            15
