   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
   0,             1,               0,              0,         1,           0,          1,                         1,                           0,                          0,            6,              0,             1
   1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
   2,             4,               0,              0,        15,           2,          5,                        13,                           2,                          0,           22,              4,             1
   3,             9,               1,              5,        19,           2,          1,                        25,                           3,                          0,           28,              5,             1
   4,            12,               1,              0,        33,           4,          7,                        41,                           5,                          0,           49,             12,             6
   5,            21,               4,              0,        41,           4,          1,                        61,                           8,                          1,           64,             18,             1
   6,            28,               6,              0,        59,           7,          8,                        85,                          10,                          0,           79,             21,             1
   7,            39,              10,              0,        86,          10,          1,                       113,                          14,                          0,           89,             24,             2
   8,            48,              13,              0,        89,          10,          1,                       145,                          17,                          0,          117,             34,             1
   9,            61,              18,              0,       114,          13,          1,                       181,                          22,                          1,          141,             43,             1
  10,            66,              19,              0,       139,          16,          1,                       221,                          23,                          1,          167,             53,             1
  11,            71,              20,              0,       159,          18,          1,                       265,                          24,                          1,          184,             60,             1
  12,            78,              22,              0,       161,          18,          1,                       313,                          26,                          1,          216,             74,             1
  13,            81,              22,              1,       191,          19,          3,                       365,                          28,                          3,          237,             84,             4
  14,            98,              29,              1,       197,          21,          3,                       421,                          35,                          3,          255,             90,             3
  15,           117,              37,              1,       206,          21,          2,                       481,                          43,                          2,          272,             97,             2
  16,           140,              47,              0,       243,          24,          3,                       545,                          53,                          2,          298,            106,             2
  17,           173,              62,              1,       255,          25,          2,                       613,                          68,                          3,          313,            113,             3
  18,           200,              74,              2,       282,          28,          5,                       685,                          80,                          4,          346,            123,             3
  19,           211,              78,              2,       301,          31,          4,                       761,                          84,                          4,          367,            132,             3
  20,           240,              91,              2,       321,          33,          5,                       841,                          97,                          6,          385,            136,             4
  21,           277,             108,              3,       391,          36,          3,                       925,                         114,                          4,          423,            155,             3
  22,           284,             110,              1,       382,          35,          3,                      1013,                         116,                          4,          454,            168,             2
  23,           287,             110,              3,       402,          37,          5,                      1105,                         118,                          8,          471,            173,             3
  24,           332,             131,              2,       402,          39,          3,                      1201,                         139,                          5,          517,            197,             2
  25,           377,             152,              2,       400,          39,          2,                      1301,                         160,                          5,          544,            208,             2
  26,           404,             164,              4,       429,          44,          7,                      1405,                         172,                          9,          563,            213,             5
  27,           453,             187,              4,       468,          44,          5,                      1513,                         195,                         15,          580,            218,             4
  28,           498,             208,              5,       484,          45,          5,                      1625,                         216,                         11,          623,            239,             5
  29,           529,             222,              5,       516,          51,          6,                      1741,                         230,                         12,          647,            246,             5
  30,           562,             237,              5,       535,          53,          6,                      1861,                         245,                         13,          667,            253,             6
  31,           581,             245,              5,       573,          56,          6,                      1985,                         253,                         14,          683,            256,             5
  32,           604,             255,              3,       599,          51,          7,                      2113,                         263,                          8,          723,            272,             3
  33,           657,             280,              3,       636,          59,          4,                      2245,                         288,                          8,          752,            288,             3
  34,           718,             309,              3,       632,          57,          4,                      2381,                         317,                          9,          774,            294,             3
  35,           781,             339,              3,       744,          70,          4,                      2521,                         347,                         36,          792,            296,             3
  36,           806,             350,              4,       695,          64,          8,                      2665,                         358,                         18,          833,            317,             6
  37,           865,             378,              8,       720,          67,          8,                      2813,                         386,                         19,          867,            332,            11
  38,           912,             400,              8,       774,          74,          8,                      2965,                         408,                         15,          886,            331,             7
  39,           953,             419,              9,       768,          73,          9,                      3121,                         427,                         21,          938,            363,             7
  40,          1004,             443,              9,       817,          77,          9,                      3281,                         451,                         12,          960,            372,             4
  41,          1067,             473,             40,       821,          77,          5,                      3445,                         481,                         54,          979,            381,            11
  42,          1112,             494,              8,       845,          84,          5,                      3613,                         502,                          3,         1025,            397,            10
  43,          1189,             531,              5,       870,          81,          5,                      3785,                         539,                          4,         1068,            418,             4
  44,          1204,             537,              8,       889,          80,          9,                      3961,                         545,                          4,         1061,            410,            18
  45,          1281,             574,              6,       936,          87,          8,                      4141,                         582,                          3,         1091,            422,            16
  46,          1290,             577,              6,      1017,          89,          7,                      4325,                         585,                          3,         1134,            440,             6
  47,          1359,             610,              6,      1026,          88,          5,                      4513,                         618,                          3,         1172,            458,             4
  48,          1432,             645,              6,      1053,          97,          5,                      4705,                         653,                          3,         1219,            474,             4
  49,          1489,             672,              2,      1028,          92,         10,                      4901,                         680,                          6,         1260,            497,             8
  50,          1520,             686,              2,      1019,          98,         10,                      5101,                         694,                          6,         1298,            516,             8
  51,          1603,             726,              2,      1106,         100,          6,                      5305,                         734,                          3,         1327,            524,             5
  52,          1630,             738,              1,      1155,         109,          6,                      5513,                         746,                          3,         1370,            542,             5
  53,          1635,             739,              1,      1190,         110,         12,                      5725,                         747,                          4,         1413,            561,             5
  54,          1718,             779,              1,      1113,         102,          6,                      5941,                         787,                          4,         1467,            591,             5
  55,          1781,             809,              1,      1181,         107,          6,                      6161,                         817,                          4,         1478,            596,             5
  56,          1820,             827,              1,      1272,         116,          6,                      6385,                         835,                          5,         1510,            607,             5
  57,          1849,             840,              1,      1275,         117,         13,                      6613,                         848,                          8,         1505,            599,             9
  58,          1870,             849,              2,      1268,         121,         12,                      6845,                         857,                          7,         1570,            632,             9
