  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
  0,             1,               0,              0,         1,           0,          0,                         1,                           0,                          0,            6,              0,             0
  1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
  2,             5,               1,              0,        17,           2,          2,                        13,                           1,                          0,           19,              2,             1
  3,             8,               1,              0,        23,           3,          1,                        25,                           3,                          1,           28,              5,             4
  4,            13,               2,              0,        37,           4,          3,                        41,                           4,                          1,           45,             11,             1
  5,            16,               2,              0,        47,           6,          2,                        61,                           6,                          1,           63,             19,             1
  6,            27,               6,              1,        60,           6,          3,                        85,                          10,                          2,           78,             22,             1
  7,            34,               8,              1,        74,           9,          3,                       113,                          12,                          3,           89,             25,             1
  8,            50,              15,              1,        89,          10,          4,                       145,                          19,                          3,          117,             37,             1
  9,            63,              20,              1,       114,          13,          4,                       181,                          24,                          3,          127,             38,             1
 10,            80,              27,              2,       125,          14,          5,                       221,                          31,                          4,          145,             43,             2
 11,            93,              32,             11,       153,          18,          6,                       265,                          36,                          5,          170,             54,             2
 12,           102,              35,              2,       187,          21,         14,                       313,                          39,                         18,          195,             64,             4
 13,           125,              45,              3,       184,          20,          9,                       365,                          49,                          6,          207,             67,             4
 14,           134,              48,              3,       218,          24,          7,                       421,                          52,                          7,          226,             72,             2
 15,           151,              55,              3,       240,          26,          8,                       481,                          59,                          9,          249,             85,             3
 16,           158,              57,              4,       247,          27,          8,                       545,                          61,                          9,          296,            104,             2
 17,           185,              69,              3,       264,          28,          8,                       613,                          73,                         10,          313,            108,             3
 18,           204,              77,              4,       288,          30,          8,                       685,                          81,                         12,          345,            122,             3
 19,           211,              79,              4,       296,          32,          8,                       761,                          83,                         12,          365,            132,             3
 20,           251,              98,              4,       312,          31,          8,                       841,                         102,                         13,          401,            146,             3
 21,           290,             116,              5,       333,          34,         13,                       925,                         120,                         26,          416,            149,             5
 22,           333,             136,             13,       366,          37,         38,                      1013,                         140,                         25,          430,            156,             7
 23,           362,             149,             11,       366,          37,         15,                      1105,                         153,                         30,          456,            164,             7
 24,           391,             162,             15,       420,          43,         20,                      1201,                         166,                         35,          490,            181,             9
 25,           424,             177,             14,       439,          45,         17,                      1301,                         181,                         37,          515,            189,             5
 26,           451,             189,              8,       461,          46,         11,                      1405,                         193,                         72,          554,            208,             4
 27,           500,             212,              9,       479,          50,         13,                      1513,                         216,                         49,          564,            207,             4
 28,           513,             217,              9,       508,          53,         12,                      1625,                         221,                         26,          593,            218,             4
 29,           528,             223,             10,       521,          54,         12,                      1741,                         227,                         28,          607,            223,             4
 30,           543,             229,             16,       563,          53,         22,                      1861,                         233,                         48,          638,            236,            13
 31,           570,             241,             10,       578,          59,         14,                      1985,                         245,                         32,          665,            249,             5
 32,           595,             252,             41,       614,          63,         14,                      2113,                         256,                         33,          712,            265,             5
 33,           622,             264,             11,       632,          64,         13,                      2245,                         268,                         36,          740,            279,             5
 34,           679,             291,             12,       666,          68,         15,                      2381,                         295,                         38,          782,            297,             5
 35,           696,             298,             12,       661,          65,         15,                      2521,                         302,                         43,          809,            305,             5
 36,           753,             325,             15,       662,          64,         14,                      2665,                         329,                         42,          836,            314,             5
 37,           812,             353,             54,       698,          67,         17,                      2813,                         357,                         45,          857,            324,             5
 38,           871,             381,             16,       755,          70,         24,                      2965,                         385,                         78,          875,            329,            15
 39,           880,             384,             27,       768,          75,         13,                      3121,                         388,                         79,          916,            350,             6
 40,           960,             423,             17,       810,          74,          7,                      3281,                         427,                         52,          949,            359,             6
 41,          1017,             450,             19,       815,          80,          7,                      3445,                         454,                         55,          974,            367,             9
 42,          1062,             471,             18,       806,          78,          7,                      3613,                         475,                         58,         1004,            387,             7
 43,          1123,             500,             20,       832,          81,         11,                      3785,                         504,                         60,         1053,            408,            17
 44,          1136,             505,             20,       862,          85,          7,                      3961,                         509,                        108,         1097,            425,            12
 45,          1165,             518,             45,       903,          88,          6,                      4141,                         522,                         65,         1135,            446,             6
 46,          1210,             539,             22,       949,          91,          5,                      4325,                         543,                         68,         1151,            452,            14
 47,          1271,             568,             37,       917,          93,         11,                      4513,                         572,                        150,         1177,            457,            21
 48,          1322,             592,             41,       978,          92,         10,                      4705,                         596,                        119,         1226,            479,            13
 49,          1407,             633,             25,      1009,          98,          6,                      4901,                         637,                         77,         1253,            490,             7
 50,          1486,             671,             27,      1022,          92,          5,                      5101,                         675,                         80,         1291,            507,             7
 51,          1507,             680,             47,      1054,         100,         10,                      5305,                         684,                        134,         1309,            514,            15
 52,          1514,             682,             46,      1082,         103,         12,                      5513,                         686,                        142,         1359,            535,            11
 53,          1553,             700,             47,      1100,         104,         11,                      5725,                         704,                        164,         1401,            559,            10
 54,          1658,             751,             31,      1138,         108,          7,                      5941,                         755,                         96,         1426,            569,             5
 55,          1755,             798,             32,      1172,         111,          7,                      6161,                         802,                         32,         1450,            574,             5
 56,          1828,             833,             33,      1158,         111,          6,                      6385,                         837,                         23,         1480,            586,             5
 57,          1877,             856,             34,      1236,         113,          6,                      6613,                         860,                         77,         1485,            584,             5
 58,          1960,             896,             35,      1231,         112,          7,                      6845,                         900,                         24,         1550,            616,             5
 59,          2077,             953,             37,      1299,         118,          7,                      7081,                         957,                         73,         1583,            627,             5
 60,          2100,             963,             38,      1335,         122,          7,                      7321,                         967,                         26,         1625,            647,             5
 61,          2199,            1011,             39,      1406,         134,          7,                      7565,                        1015,                         59,         1651,            656,            14
 62,          2262,            1041,             69,      1393,         130,         14,                      7813,                        1045,                         49,         1677,            659,            10
 63,          2277,            1047,             69,      1416,         130,          8,                      8065,                        1051,                         48,         1706,            676,             6
 64,          2326,            1070,             68,      1406,         133,         14,                      8321,                        1074,                         51,         1726,            680,             8
 65,          2347,            1079,             72,      1403,         127,         12,                      8581,                        1083,                        116,         1773,            706,             9
 66,          2450,            1129,             45,      1478,         139,          8,                      8845,                        1133,                         34,         1800,            705,             6
 67,          2575,            1190,             46,      1579,         138,          8,                      9113,                        1194,                         84,         1828,            726,             6
 68,          2708,            1255,             48,      1536,         142,          8,                      9385,                        1259,                         34,         1901,            757,             6
 69,          2837,            1318,             50,      1551,         141,          8,                      9661,                        1322,                         77,         1922,            763,             6
 70,          2970,            1383,             53,      1604,         151,          8,                      9941,                        1387,                         35,         1946,            774,             6
 71,          3079,            1436,             55,      1609,         149,          9,                     10225,                        1440,                         83,         1983,            786,             6
 72,          3082,            1436,             55,      1667,         158,          9,                     10513,                        1442,                        142,         2028,            802,            10
 73,          3219,            1503,             98,      1617,         153,         14,                     10805,                        1509,                         67,         2044,            813,            10
 74,          3310,            1547,             98,      1635,         155,         15,                     11101,                        1553,                        142,         2080,            832,             7
 75,          3443,            1612,             77,      1704,         157,         10,                     11401,                        1618,                         93,         2140,            852,             7
 76,          3492,            1635,             62,      1758,         161,         10,                     11705,                        1641,                         41,         2165,            868,             7
 77,          3501,            1638,             66,      1878,         168,          9,                     12013,                        1644,                         93,         2205,            882,             8
 78,          3574,            1673,             63,      1752,         166,         10,                     12325,                        1679,                         85,         2232,            899,             6
 79,          3711,            1740,             70,      1861,         167,         11,                     12641,                        1746,                         95,         2275,            911,             6
 80,          3722,            1744,             66,      1852,         167,          9,                     12961,                        1750,                         45,         2311,            925,             6
 81,          3803,            1783,             67,      1944,         167,          9,                     13285,                        1789,                         87,         2344,            939,             7
 82,          3850,            1805,             68,      1973,         174,         10,                     13613,                        1811,                         86,         2399,            963,             7
 83,          3953,            1855,             70,      1937,         179,         14,                     13945,                        1860,                         94,         2401,            954,             7
 84,          3964,            1859,             70,      2016,         187,         10,                     14281,                        1864,                         97,         2453,            985,             7
 85,          4055,            1903,             72,      1964,         185,         10,                     14621,                        1907,                        170,         2508,           1015,            11
 86,          4110,            1929,            139,      2068,         181,         15,                     14965,                        1933,                        210,         2515,           1013,            17
 87,          4201,            1973,            185,      2044,         190,         18,                     15313,                        1976,                         94,         2581,           1041,             7
 88,          4280,            2011,             45,      2129,         194,         13,                     15665,                        2014,                         81,         2614,           1055,             9
 89,          4353,            2046,             22,      2145,         203,         11,                     16021,                        2049,                         57,         2639,           1060,            14
 90,          4464,            2100,             37,      2126,         194,         18,                     16381,                        2102,                        140,         2695,           1093,            12
 91,          4491,            2112,            112,      2294,         199,         20,                     16745,                        2114,                        135,         2722,           1101,            12
 92,          4520,            2125,             40,      2278,         197,         20,                     17113,                        2127,                        163,         2767,           1122,            13
 93,          4607,            2167,             35,      2236,         207,         19,                     17485,                        2169,                        177,         2780,           1124,            12
 94,          4688,            2206,             99,      2365,         212,         21,                     17861,                        2208,                        171,         2823,           1140,            13
 95,          4705,            2213,             42,      2346,         210,         20,                     18241,                        2215,                        168,         2867,           1166,            13
 96,          4858,            2288,             26,      2436,         212,         21,                     18625,                        2289,                        175,         2904,           1183,            13
 97,          4943,            2329,             43,      2441,         224,         19,                     19013,                        2330,                        122,         2954,           1206,             9
 98,          5136,            2424,             70,      2366,         214,         15,                     19405,                        2424,                        112,         2992,           1219,             9
 99,          5307,            2508,             24,      2435,         213,         12,                     19801,                        2507,                        104,         3025,           1235,            12
