 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 0,             1,               0,              1,         1,           0,          0,                         1,                           0,                          0,            6,              0,             1
 1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
 2,             4,               0,              0,        15,           2,          1,                        13,                           2,                          0,           22,              4,             5
 3,             7,               0,              1,        15,           2,          2,                        25,                           4,                          1,           31,              8,             2
 4,            12,               1,              1,        35,           4,          2,                        41,                           5,                          1,           48,             13,             3
 5,            22,               5,              1,        45,           5,          3,                        61,                           9,                          1,           59,             16,             3
 6,            33,               9,              2,        70,           8,          4,                        85,                          13,                          2,           82,             24,             4
 7,            38,              10,              2,        88,          11,          5,                       113,                          14,                          2,           97,             30,             4
 8,            43,              11,              2,       101,          12,          9,                       145,                          15,                          5,          123,             39,             6
 9,            50,              13,              2,       114,          13,          5,                       181,                          17,                          3,          143,             47,             5
10,            53,              13,              3,       136,          15,          6,                       221,                          17,                          4,          166,             56,             6
